,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Florianopolis,BR,81.63,scattered clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
269,Pemba,MZ,83.1,broken clouds,-12.974,40.5178,Hotel Rafael
271,Hasaki,JP,44.22,clear sky,35.7333,140.8333,大新旅館
272,Severo-Kurilsk,RU,29.97,overcast clouds,50.6789,156.125,"""Дом рыбака"""
273,Niquelandia,BR,90.01,few clouds,-14.4739,-48.4597,Serrano Hotel
275,Safaga,EG,77.04,scattered clouds,26.7292,33.9365,Dolphin Hotel
276,Imbituba,BR,82.85,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
277,Tefe,BR,78.91,broken clouds,-3.3542,-64.7114,Pousada Santa Teresa
278,Sao Felix Do Xingu,BR,86.0,broken clouds,-6.6447,-51.995,Hotel Terraço
279,Vanimo,PG,75.4,light rain,-2.6741,141.3028,CBC Guesthouse
280,Sabha,LY,74.1,broken clouds,27.0377,14.4283,فندق الكاظم-سبها
282,Kajaani,FI,14.05,scattered clouds,64.2273,27.7285,Original Sokos Hotel Valjus
284,Sao Jose Da Coroa Grande,BR,83.79,overcast clouds,-8.8978,-35.1478,Hotel do Sol
286,Aswan,EG,94.3,clear sky,24.0934,32.907,Yaseen hotel
287,Pangkalanbuun,ID,73.33,overcast clouds,-2.6833,111.6167,Hotel Tiara
288,Carmen,MX,78.84,few clouds,18.6333,-91.8333,Holiday Inn Express
289,Mar Del Plata,AR,90.95,clear sky,-38.0023,-57.5575,Nuevo Ostende
290,Asekeyevo,RU,25.63,overcast clouds,53.5742,52.7972,Тополя
292,Champerico,GT,84.74,few clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
293,Bahir Dar,ET,77.52,light rain,11.5936,37.3908,ናኪ ሆቴል
294,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Dena Hotel
295,Mount Gambier,AU,57.04,clear sky,-37.8333,140.7667,The Old Mount Gambier Gaol
296,Zhezkazgan,KZ,26.91,overcast clouds,47.8043,67.7144,KENGIR
297,Hukuntsi,BW,78.21,light rain,-24.0,21.75,Entabeni Hotel
299,Sakakah,SA,85.57,few clouds,29.9697,40.2064,فندق النزل
301,Muros,ES,63.68,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
303,Derzhavinsk,KZ,32.54,light snow,51.1,66.3167,Ишим
306,Nouadhibou,MR,67.24,clear sky,20.931,-17.0347,Hotel valencia
308,Sol-Iletsk,RU,26.08,overcast clouds,51.1631,54.9918,Konnov hotel
311,Dunmore Town,BS,77.25,scattered clouds,25.5,-76.65,The Landing Hotel & Restaurant
312,Tucuman,AR,86.0,scattered clouds,-26.8241,-65.2226,Suites San Luis
313,Saint-Pierre,RE,82.08,light rain,-21.3393,55.4781,Tropic Hotel
315,Port Blair,IN,82.44,mist,11.6667,92.75,Andaman Ocean Breeze
316,Ancud,CL,53.96,heavy intensity rain,-41.8697,-73.8203,Cabañas
317,Elmina,GH,83.97,light rain,5.0898,-1.348,Coconut Grove Bridge House
318,Banda Aceh,ID,77.97,scattered clouds,5.5577,95.3222,Hotel 61
321,Marienburg,PL,35.04,overcast clouds,54.0359,19.0266,Stary Malbork
322,Marawi,PH,66.67,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
323,Rantepao,ID,66.18,overcast clouds,-2.9701,119.8978,Hotel Indra Toraja
324,Kupang,ID,77.49,broken clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
325,Victoria,HK,66.38,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
326,Kodiak,US,20.71,clear sky,57.79,-152.4072,Shelikof Lodge
328,Asfi,MA,62.98,overcast clouds,32.2994,-9.2372,Golden Tulip Farah Safi
330,Matadi,CD,91.67,overcast clouds,-5.8167,13.45,Hôtel Métroplole
331,Ucluelet,CA,35.91,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
333,Tawang,IN,40.39,overcast clouds,27.5833,91.8667,Zambhala Hotel
334,Whitehorse,CA,-21.19,fog,60.7161,-135.0538,Town & Mountain Hotel
335,Taltal,CL,75.11,few clouds,-25.4,-70.4833,Hostería Taltal
336,Richards Bay,ZA,74.77,light rain,-28.783,32.0377,Protea Hotel
338,Mount Isa,AU,76.77,light rain,-20.7333,139.5,Ibis Styles
340,Seoul,KR,42.24,clear sky,37.5683,126.9778,뉴국제호텔
341,Tingo Maria,PE,75.51,overcast clouds,-9.2895,-76.0088,Hotel Oro Verde
343,Turayf,SA,71.85,clear sky,31.6725,38.6637,Al-Mudwah
344,Powell River,CA,35.24,mist,49.8496,-124.5361,Beyond Bliss Suites & Spa
346,Narsaq,GL,52.02,clear sky,60.9167,-46.05,Hotel Narsaq
348,Mandalgovi,MN,36.18,broken clouds,45.7625,106.2708,АЛТАНГОВЬ Hotel
350,Mayumba,GA,81.09,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
351,Marsh Harbour,BS,76.73,clear sky,26.5412,-77.0636,Lofty Fig Villas
353,Khilok,RU,18.12,overcast clouds,51.3674,110.4676,Viola
354,Amga,RU,1.11,overcast clouds,60.8953,131.9608,"""АммА"""
356,Yarmouth,US,48.65,clear sky,41.7057,-70.2286,The Inn At Cape Cod
357,Cairns,AU,77.07,light intensity shower rain,-16.9167,145.7667,Cairns Queens Court Accommodation
358,Tommot,RU,-2.4,overcast clouds,58.9564,126.2925,Томмот
361,Belomorsk,RU,-3.93,broken clouds,64.5232,34.7668,Гандвик
362,Vila Velha,BR,91.35,scattered clouds,-20.3297,-40.2925,Hotel Prainha
364,Sao Joao Da Barra,BR,91.49,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
365,Alihe,CN,10.6,broken clouds,50.5667,123.7167,大鮮卑酒店
366,Meulaboh,ID,76.64,few clouds,4.1363,96.1285,Hotel Meuligou
368,De Land,US,82.24,scattered clouds,29.0283,-81.3031,Courtyard by Marriott DeLand Historic Downtown
369,Salihorsk,BY,29.86,scattered clouds,52.7876,27.5415,Новае Палессе
372,Kristiansund,NO,30.25,light snow,63.1115,7.732,Comfort Hotel Fosna
373,Alekseyevka,RU,31.64,overcast clouds,50.6309,38.6903,Гостиница Тихая Сосна
